"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login with performance_glitch_user and Reset App State Then filter by name (Z to A) and select the first product into the cart","10","0","","0"
"0","","0","Standard User","18","0","","0"
"0","","0","Performance Glitch User","15","0","","0"
"0","","0","Login with standard_user then hamburger menu Reset App Then Add Any three items to the cart verify all the product's name and the total price","9","0","","0"
"1","","0","Locked Out User","4","0","","0"
"0","","0","Try login with locked_out_user","2","0","","0"
